doid_code_0	doid_name_0	doid_code_1	doid_name_1	cooccurrence	expected	enrichment	odds_ratio	p_fisher
DOID:10652	Alzheimer's disease	DOID:13499	jejunal cancer	0	32.51475033813746	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:1725	peritoneum cancer	0	208.24524378935976	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:175	vascular cancer	0	45.88937444629916	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:1790	malignant mesothelioma	1	198.4572983267452	0.005038867345425485	0.004940567789980343	1.0
DOID:10652	Alzheimer's disease	DOID:1909	melanoma	7	1280.3101950156292	0.005467425025006966	0.005276456626391415	1.0
DOID:10652	Alzheimer's disease	DOID:1964	fallopian tube cancer	0	39.88922979627173	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:2998	testicular cancer	0	378.99796360634144	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:3121	gallbladder cancer	0	123.32140875670899	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:3565	meningioma	7	340.6841907852166	0.0205468882599637	0.020111140950470303	1.0
DOID:10652	Alzheimer's disease	DOID:4606	bile duct cancer	0	235.5140576038699	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:5559	mediastinal cancer	1	205.71445652077279	0.0048611070748886395	0.00476575530327249	1.0
DOID:10652	Alzheimer's disease	DOID:5612	spinal cancer	0	157.8473807652467	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:5875	retroperitoneal cancer	0	133.1428745804969	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:8778	Crohn's disease	5	528.498774439427	0.009460759876507654	0.009232650347554962	1.0
DOID:10652	Alzheimer's disease	DOID:2377	multiple sclerosis	350	775.7784788151384	0.4511597183445483	0.4441890972753992	1.0
DOID:10652	Alzheimer's disease	DOID:9352	type 2 diabetes mellitus	355	1527.5228586689939	0.23240241413429913	0.22545885238975363	1.0
DOID:10652	Alzheimer's disease	DOID:8577	ulcerative colitis	3	474.1287486162735	0.0063273952671197104	0.006179263060660191	1.0
DOID:10652	Alzheimer's disease	DOID:9744	type 1 diabetes mellitus	32	1053.5784720391737	0.030372678304696976	0.029433571579695467	1.0
DOID:10652	Alzheimer's disease	DOID:7148	rheumatoid arthritis	54	1597.1614090066028	0.03380998294567281	0.03251316932856447	1.0
DOID:10652	Alzheimer's disease	DOID:3393	coronary artery disease	38	683.5807254078734	0.055589630584341694	0.05419364696595051	1.0
DOID:10652	Alzheimer's disease	DOID:9970	obesity	138	2495.4903282714636	0.05529975349397072	0.05254888786934524	1.0
DOID:10652	Alzheimer's disease	DOID:10608	celiac disease	6	280.31402031203555	0.02140456618374284	0.020969159277285092	1.0
DOID:10652	Alzheimer's disease	DOID:9074	systemic lupus erythematosus	17	837.4224230129063	0.020300387872152784	0.019728030739120044	1.0
DOID:10652	Alzheimer's disease	DOID:9835	refractive error	2	450.09464965499046	0.004443509829617067	0.004340812657576688	1.0
DOID:10652	Alzheimer's disease	DOID:12236	primary biliary cirrhosis	0	118.41067584481503	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:12306	vitiligo	0	68.34801643243534	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:10871	age related macular degeneration	47	284.4370247363561	0.16523868523643914	0.16235603410944233	1.0
DOID:10652	Alzheimer's disease	DOID:14221	metabolic syndrome X	47	353.1370049611115	0.13309282046262974	0.1305688858854937	1.0
DOID:10652	Alzheimer's disease	DOID:2841	asthma	44	1814.0549059786836	0.024255054163458176	0.02324208887364127	1.0
DOID:10652	Alzheimer's disease	DOID:8893	psoriasis	6	517.8225394057191	0.011586981143937693	0.011309947986170453	1.0
DOID:10652	Alzheimer's disease	DOID:5419	schizophrenia	581	1459.0742811530386	0.39819768431588193	0.3890655675658377	1.0
DOID:10652	Alzheimer's disease	DOID:6364	migraine	23	372.4447329969539	0.06175412876677225	0.06047222888769773	1.0
DOID:10652	Alzheimer's disease	DOID:12361	Graves' disease	1	244.31315241187102	0.0040931075143845206	0.004010503388397691	1.0
DOID:10652	Alzheimer's disease	DOID:3310	atopic dermatitis	3	249.6931703801917	0.012014745919690527	0.01177325278151378	1.0
DOID:10652	Alzheimer's disease	DOID:3312	bipolar disorder	122	545.2757152066825	0.22374002105293989	0.21945293017486747	1.0
DOID:10652	Alzheimer's disease	DOID:7147	ankylosing spondylitis	0	203.82055611447922	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:11612	polycystic ovary syndrome	1	180.2892625707962	0.005546642022606969	0.005439927819746679	1.0
DOID:10652	Alzheimer's disease	DOID:10763	hypertension	401	3598.9303375559766	0.11142199553446148	0.104611982291714	1.0
DOID:10652	Alzheimer's disease	DOID:418	systemic scleroderma	1	285.6102373774229	0.0035012750564628347	0.003428507730684932	1.0
DOID:10652	Alzheimer's disease	DOID:13241	Behcet's disease	1	128.81874798913634	0.007762845203901011	0.007619504446558749	1.0
